"playerid","Name.1","Team.1","G.1","AB.1","PA.1","H.1","X1B.1","X2B.1","X3B.1","HR.1","R.1","RBI.1","BB.1","IBB.1","SO.1","HBP.1","SF.1","SH.1","GDP.1","SB.1","CS.1","AVG.1","Name.2","Team.2","G.2","AB.2","PA.2","H.2","X1B.2","X2B.2","X3B.2","HR.2","R.2","RBI.2","BB.2","IBB.2","SO.2","HBP.2","SF.2","SH.2","GDP.2","SB.2","CS.2","AVG.2"
8252,"Hunter Pence","Astros",85,323,348,85,57,15,1,12,47,40,25,0,45,0,0,0,8,11,5,0.263,"Hunter Pence","Astros",71,291,310,88,59,14,2,13,46,51,16,2,60,0,3,0,3,7,4,0.302
8347,"Denard Span","Twins",86,355,402,97,74,13,7,3,54,37,37,0,43,4,1,5,9,16,1,0.273,"Denard Span","Twins",67,274,303,69,55,11,3,0,31,21,23,0,31,0,1,5,3,10,3,0.252
8433,"Ike Davis","Mets",75,275,309,71,44,16,0,11,43,40,32,3,71,1,1,0,9,1,0,0.258,"Ike Davis","Mets",72,248,292,67,41,17,1,8,30,31,40,3,67,0,4,0,4,2,2,0.27
8585,"Yuniesky Betancourt","Royals",82,302,318,78,51,20,1,6,40,36,10,0,41,1,3,2,3,0,1,0.258,"Yuniesky Betancourt","Royals",69,254,270,66,46,9,1,10,20,42,13,1,23,0,1,2,10,2,2,0.26
8709,"Elvis Andrus","Rangers",84,329,382,92,80,10,2,0,57,25,41,0,59,1,0,11,2,23,10,0.28,"Elvis Andrus","Rangers",64,259,292,64,58,5,1,0,31,10,23,0,37,4,0,6,4,9,5,0.247
9328,"Drew Stubbs","Reds",85,293,331,69,47,7,4,11,47,43,31,1,90,2,3,2,4,17,3,0.235,"Drew Stubbs","Reds",65,221,252,62,37,12,2,11,44,34,24,1,78,3,3,1,2,13,3,0.281
9368,"Evan Longoria","Rays",87,337,388,101,58,27,3,13,54,61,45,7,70,2,4,0,6,13,2,0.3,"Evan Longoria","Rays",64,237,273,68,38,19,2,9,42,43,27,5,54,3,6,0,9,2,3,0.287
9847,"Andrew McCutchen","Pirates",87,324,370,93,65,16,4,8,52,29,40,1,59,1,4,1,4,20,6,0.287,"Andrew McCutchen","Pirates",67,246,283,70,42,19,1,8,42,27,30,0,30,4,3,0,2,13,4,0.285
9848,"Austin Jackson","Tigers",78,313,340,94,68,21,4,1,52,20,23,0,88,3,0,1,4,14,3,0.3,"Austin Jackson","Tigers",73,305,335,87,65,13,6,3,51,21,24,4,82,1,3,2,1,13,3,0.285
9893,"Colby Rasmus","Cardinals",82,264,303,75,40,17,2,16,51,42,35,5,85,1,1,2,2,9,4,0.284,"Colby Rasmus","Cardinals",62,200,231,53,34,11,1,7,34,24,28,4,63,0,3,0,3,3,4,0.265
